date,song,artist,rank,last_week,peak_position,weeks_in_charts,image_url
2003-08-20,Seven Nation Army,The White Stripes,80,82,76,14,https://charts-static.billboard.com/img/2003/03/the-white-stripes-4sm-sevennationarmy-bnw-180x180.jpg
2003-08-20,Someday,Nickelback,81,81,1,-,https://charts-static.billboard.com/img/2003/08/nickelback-ecq-someday-odo-180x180.jpg
2003-08-20,Na Na Na,112 Featuring Super Cat,82,86,82,3,#
2003-08-20,Officially Missing You,Tamia,83,83,83,4,#
2003-08-20,Just Because,Jane's Addiction,84,79,72,5,#
2003-08-20,Flying Without Wings,Ruben Studdard,85,71,2,9,#
2003-08-20,24's,T.I.,86,90,86,4,#
2003-08-20,What The World Needs,Wynonna,87,76,70,8,#
2003-08-20,Where The Hood At,DMX,88,88,1,-,https://charts-static.billboard.com/img/2003/07/dmx-kb0-wherethehoodat-h5k-180x180.jpg
2003-08-20,Almost Home,Craig Morgan,89,89,59,13,#
2003-08-20,Swing; Swing,The All-American Rejects,90,85,60,10,#
2003-08-20,Amazing,Josh Kelley,91,91,91,3,#
2003-08-20,Feelin' Freaky,Nick Cannon Featuring B2K,92,93,92,2,#
2003-08-20,Walk A Little Straighter,Billy Currington,93,93,1,-,#
2003-08-20,Danger,Erykah Badu,94,94,1,-,#
2003-08-20,Cop That Sh#!,Timbaland & Magoo Featuring Missy Elliott,95,95,1,-,#
2003-08-20,Crazy,Javier,96,96,96,2,#
2003-08-20,Lovin' All Night,Patty Loveless,97,97,1,-,#
2003-08-20,Never (Past Tense),The Roc Project Featuring Tina Arena,98,98,1,-,#
2003-08-20,Stupid Girl,Cold,99,95,87,19,#
2003-08-20,Pump It Up,Joe Budden,100,99,38,19,#
2003-08-27,Crazy In Love,Beyonce Featuring Jay Z,1,1,1,15,https://charts-static.billboard.com/img/2003/05/beyonce-n2a-crazyinlove-r6k-180x180.jpg
2003-08-27,Right Thurr,Chingy,2,2,2,16,#
2003-08-27,Shake Ya Tailfeather,Nelly| P. Diddy & Murphy Lee,3,4,3,10,#
2003-08-27,P.I.M.P.,50 Cent,4,3,3,14,#
2003-08-27,Into You,Fabolous Featuring Tamia Or Ashanti,5,6,5,12,#
2003-08-27,Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,6,8,6,18,#
2003-08-27,Frontin',Pharrell Featuring Jay-Z,7,7,7,12,https://charts-static.billboard.com/img/2003/05/pharrell-williams-vru-frontin-mop-180x180.jpg
2003-08-27,Unwell,matchbox twenty,8,9,5,24,#
2003-08-27,Where Is The Love?,The Black Eyed Peas,9,11,8,12,#
2003-08-27,Never Leave You - Uh Ooh; Uh Oooh!,Lumidee,10,5,3,14,#
2003-08-27,In Those Jeans,Ginuwine,11,10,8,12,#
2003-08-27,Baby Boy,Beyonce Featuring Sean Paul,12,29,12,3,#
2003-08-27,Like Glue,Sean Paul,13,15,13,13,#
2003-08-27,Drift Away,Uncle Kracker Featuring Dobie Gray,14,14,9,23,#
2003-08-27,Rock Wit U (Awww Baby),Ashanti,15,12,2,17,#
2003-08-27,My Love Is Like... Wo,Mya,16,19,16,10,#
2003-08-27,Are You Happy Now?,Michelle Branch,17,16,16,14,#
2003-08-27,Magic Stick,Lil' Kim Featuring 50 Cent,18,13,2,19,#
2003-08-27,It's Five O'Clock Somewhere,Alan Jackson & Jimmy Buffett,19,20,19,10,https://charts-static.billboard.com/img/2003/06/alan-jackson-jbt-itsfiveoclocksomewhere-yan-180x180.jpg
2003-08-27,Bring Me To Life,Evanescence Featuring Paul McCoy,20,18,5,25,https://charts-static.billboard.com/img/2003/01/evanescence-qx6-bringmetolife-cqx-180x180.jpg
2003-08-27,Forever And For Always,Shania Twain,21,21,21,15,#
2003-08-27,Miss Independent,Kelly Clarkson,22,17,9,16,#
2003-08-27,Thoia Thoing,R. Kelly,23,23,23,7,#
2003-08-27,Calling All Angels,Train,24,27,24,15,https://charts-static.billboard.com/img/2003/04/train-z35-106x106.jpg
2003-08-27,Let's Get Down,Bow Wow Featuring Baby,25,25,25,9,#
2003-08-27,I Want You,Thalia Featuring Fat Joe,26,22,22,12,https://charts-static.billboard.com/img/2003/05/thalia-82k-180x180.jpg
2003-08-27,So Gone,Monica,27,24,10,19,#
2003-08-27,No Shoes; No Shirt; No Problems,Kenny Chesney,28,28,28,10,#
2003-08-27,The Remedy (I Won't Worry),Jason Mraz,29,31,29,18,#
2003-08-27,What Was I Thinkin',Dierks Bentley,30,30,30,11,#
2003-08-27,Can't Hold Us Down,Christina Aguilera Featuring Lil' Kim,31,39,31,5,#
2003-08-27,The Boys Of Summer,The Ataris,32,36,32,6,#
2003-08-27,Get Busy,Sean Paul,33,26,1,28,#
2003-08-27,Why Don't You & I,Santana Featuring Alex Band Or Chad Kroeger,34,45,34,6,#
2003-08-27,Red Dirt Road,Brooks & Dunn,35,32,25,14,#
2003-08-27,Celebrity,Brad Paisley,36,33,31,12,#
2003-08-27,Come Over,Aaliyah,37,38,37,12,https://charts-static.billboard.com/img/2003/03/aaliyah-dzg-comeover-96k-180x180.jpg
2003-08-27,Senorita,Justin Timberlake,38,43,38,5,#
2003-08-27,When I'm Gone,3 Doors Down,39,35,4,41,https://charts-static.billboard.com/img/2002/10/3-doors-down-iph-whenimgone-6r8-180x180.jpg
2003-08-27,Real Good Man,Tim McGraw,40,42,40,8,#
2003-08-27,Help Pour Out The Rain (Lacey's Song),Buddy Jewell,41,47,41,11,#
2003-08-27,Dance With My Father,Luther Vandross,42,44,40,10,https://charts-static.billboard.com/img/2003/05/luther-vandross-8mi-dancewithmyfather-6ue-180x180.jpg
2003-08-27,My Front Porch Looking In,Lonestar,43,40,23,20,#
2003-08-27,Can't Stop; Won't Stop,Young Gunz,44,48,44,4,#
2003-08-27,Beer For My Horses,Toby Keith Duet With Willie Nelson,45,41,22,18,https://charts-static.billboard.com/img/2002/08/toby-keith-r76-beerformyhorses-sh7-180x180.jpg
2003-08-27,Addicted,Simple Plan,46,46,45,10,#
2003-08-27,Intuition,Jewel,47,37,20,17,#
2003-08-27,So Far Away,Staind,48,52,48,5,#
2003-08-27,Damn!,YoungBloodZ Featuring Lil Jon,49,59,49,4,#
2003-08-27,Love At 1st Sight,Mary J. Blige Featuring Method Man,50,34,22,9,#
2003-08-27,Girls And Boys,Good Charlotte,51,51,51,6,#
2003-08-27,Then They Do,Trace Adkins,52,54,52,7,#
2003-08-27,Faint,Linkin Park,53,55,53,6,#
2003-08-27,This One's For The Girls,Martina McBride,54,62,54,4,#
2003-08-27,So Yesterday,Hilary Duff,55,53,53,3,#
2003-08-27,Suga Suga,Baby Bash Featuring Frankie J,56,71,56,2,https://charts-static.billboard.com/img/2003/06/baby-bash-itn-sugasuga-ok4-180x180.jpg
2003-08-27,Signs Of Love Makin',Tyrese,57,61,57,6,#
2003-08-27,Light Your A** On Fire,Busta Rhymes,58,66,58,4,#
2003-08-27,Step In The Name Of Love,R. Kelly,59,68,59,2,#
2003-08-27,Did My Time,Korn,60,60,38,4,#
2003-08-27,A Few Questions,Clay Walker,61,65,61,4,#
2003-08-27,Who Wouldn't Wanna Be Me,Keith Urban,62,67,62,3,#
2003-08-27,99.9% Sure (I've Never Been Here Before),Brian McComas,63,57,57,8,#
2003-08-27,Here Without You,3 Doors Down,64,64,1,-,#
2003-08-27,This Is The Night,Clay Aiken,65,58,1,10,#
2003-08-27,Bigger Than My Body,John Mayer,66,66,1,-,#
2003-08-27,I Wish I Wasn't,Heather Headley,67,64,55,18,#
2003-08-27,Tough Little Boys,Gary Allan,68,75,68,2,#
2003-08-27,Like A Pimp,David Banner Featuring Lil' Flip,69,63,48,19,#
2003-08-27,Harder To Breathe,Maroon 5,70,76,70,2,#
2003-08-27,Hole In The World,Eagles,71,69,69,5,#
2003-08-27,I Melt,Rascal Flatts,72,79,72,2,#
2003-08-27,Show Me How To Live,Audioslave,73,78,73,3,#
2003-08-27,She Only Smokes When She Drinks,Joe Nichols,74,72,72,3,#
2003-08-27,Na Na Na,112 Featuring Super Cat,75,82,75,4,#
2003-08-27,Someday,Nickelback,76,81,76,2,https://charts-static.billboard.com/img/2003/08/nickelback-ecq-someday-odo-180x180.jpg
2003-08-27,Wave On Wave,Pat Green,77,77,1,-,#
2003-08-27,Rain On Me,Ashanti,78,78,1,-,https://charts-static.billboard.com/img/2003/07/ashanti-4h4-rainonme-8x9-180x180.jpg
2003-08-27,Heaven,Live,79,79,1,-,#
2003-08-27,Send The Pain Below,Chevelle,80,73,65,17,#
2003-08-27,Breathe,Blu Cantrell Featuring Sean Paul,81,70,70,18,#
2003-08-27,24's,T.I.,82,86,82,5,#
2003-08-27,Officially Missing You,Tamia,83,83,83,5,#
2003-08-27,Seven Nation Army,The White Stripes,84,80,76,15,https://charts-static.billboard.com/img/2003/03/the-white-stripes-4sm-sevennationarmy-bnw-180x180.jpg
2003-08-27,Stay Gone,Jimmy Wayne,85,74,32,19,#
2003-08-27,Where The Hood At,DMX,86,88,86,2,https://charts-static.billboard.com/img/2003/07/dmx-kb0-wherethehoodat-h5k-180x180.jpg
2003-08-27,Just Because,Jane's Addiction,87,84,72,6,#
2003-08-27,Walk A Little Straighter,Billy Currington,88,93,88,2,#
2003-08-27,Amazing,Josh Kelley,89,91,89,4,#
2003-08-27,Lovin' All Night,Patty Loveless,90,97,90,2,#
2003-08-27,Flying Without Wings,Ruben Studdard,91,85,2,10,#
2003-08-27,Feelin' Freaky,Nick Cannon Featuring B2K,92,92,92,3,#
2003-08-27,Danger,Erykah Badu,93,94,93,2,#
2003-08-27,Almost Home,Craig Morgan,94,89,59,14,#
2003-08-27,Cop That Sh#!,Timbaland & Magoo Featuring Missy Elliott,95,95,95,2,#
2003-08-27,Swing; Swing,The All-American Rejects,96,90,60,11,#
2003-08-27,Roun' The Globe,Nappy Roots,97,97,1,-,#
2003-08-27,Never (Past Tense),The Roc Project Featuring Tina Arena,98,98,98,2,#
2003-08-27,Crazy,Javier,99,96,96,3,#
2003-08-27,Stupid Girl,Cold,100,99,87,20,#
2003-09-03,Shake Ya Tailfeather,Nelly| P. Diddy & Murphy Lee,1,3,1,11,#
2003-09-03,Crazy In Love,Beyonce Featuring Jay Z,2,1,1,16,https://charts-static.billboard.com/img/2003/05/beyonce-n2a-crazyinlove-r6k-180x180.jpg
2003-09-03,Right Thurr,Chingy,3,2,2,17,#
2003-09-03,P.I.M.P.,50 Cent,4,4,3,15,#
2003-09-03,Into You,Fabolous Featuring Tamia Or Ashanti,5,5,5,13,#
2003-09-03,Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,6,6,6,19,#
2003-09-03,Frontin',Pharrell Featuring Jay-Z,7,7,7,13,https://charts-static.billboard.com/img/2003/05/pharrell-williams-vru-frontin-mop-180x180.jpg
2003-09-03,Unwell,matchbox twenty,8,8,5,25,#
2003-09-03,Baby Boy,Beyonce Featuring Sean Paul,9,12,9,4,#
2003-09-03,Where Is The Love?,The Black Eyed Peas,10,9,8,13,#
2003-09-03,In Those Jeans,Ginuwine,11,11,8,13,#
2003-09-03,Never Leave You - Uh Ooh; Uh Oooh!,Lumidee,12,10,3,15,#
2003-09-03,My Love Is Like... Wo,Mya,13,16,13,11,#
2003-09-03,Drift Away,Uncle Kracker Featuring Dobie Gray,14,14,9,24,#
2003-09-03,Like Glue,Sean Paul,15,13,13,14,#
2003-09-03,Are You Happy Now?,Michelle Branch,16,17,16,15,#
2003-09-03,It's Five O'Clock Somewhere,Alan Jackson & Jimmy Buffett,17,19,17,11,https://charts-static.billboard.com/img/2003/06/alan-jackson-jbt-itsfiveoclocksomewhere-yan-180x180.jpg
2003-09-03,Let's Get Down,Bow Wow Featuring Baby,18,25,18,10,#
2003-09-03,Rock Wit U (Awww Baby),Ashanti,19,15,2,18,#
2003-09-03,Forever And For Always,Shania Twain,20,21,20,16,#
2003-09-03,Magic Stick,Lil' Kim Featuring 50 Cent,21,18,2,20,#
2003-09-03,Bring Me To Life,Evanescence Featuring Paul McCoy,22,20,5,26,https://charts-static.billboard.com/img/2003/01/evanescence-qx6-bringmetolife-cqx-180x180.jpg
2003-09-03,Thoia Thoing,R. Kelly,23,23,23,8,#
2003-09-03,Calling All Angels,Train,24,24,24,16,https://charts-static.billboard.com/img/2003/04/train-z35-106x106.jpg
2003-09-03,The Remedy (I Won't Worry),Jason Mraz,25,29,25,19,#
2003-09-03,Can't Hold Us Down,Christina Aguilera Featuring Lil' Kim,26,31,26,6,#
2003-09-03,The Boys Of Summer,The Ataris,27,32,27,7,#
2003-09-03,I Want You,Thalia Featuring Fat Joe,28,26,22,13,https://charts-static.billboard.com/img/2003/05/thalia-82k-180x180.jpg
2003-09-03,What Was I Thinkin',Dierks Bentley,29,30,29,12,#
2003-09-03,Miss Independent,Kelly Clarkson,30,22,9,17,#
2003-09-03,No Shoes; No Shirt; No Problems,Kenny Chesney,31,28,28,11,#
2003-09-03,Why Don't You & I,Santana Featuring Alex Band Or Chad Kroeger,32,34,32,7,#
2003-09-03,Senorita,Justin Timberlake,33,38,33,6,#
2003-09-03,Come Over,Aaliyah,34,37,34,13,https://charts-static.billboard.com/img/2003/03/aaliyah-dzg-comeover-96k-180x180.jpg
2003-09-03,Damn!,YoungBloodZ Featuring Lil Jon,35,49,35,5,#
2003-09-03,So Gone,Monica,36,27,10,20,#
2003-09-03,Can't Stop; Won't Stop,Young Gunz,37,44,37,5,#
2003-09-03,Get Busy,Sean Paul,38,33,1,29,#
2003-09-03,Real Good Man,Tim McGraw,39,40,39,9,#
2003-09-03,When I'm Gone,3 Doors Down,40,39,4,42,https://charts-static.billboard.com/img/2002/10/3-doors-down-iph-whenimgone-6r8-180x180.jpg
2003-09-03,Help Pour Out The Rain (Lacey's Song),Buddy Jewell,41,41,41,12,#
2003-09-03,Dance With My Father,Luther Vandross,42,42,40,11,https://charts-static.billboard.com/img/2003/05/luther-vandross-8mi-dancewithmyfather-6ue-180x180.jpg
2003-09-03,Red Dirt Road,Brooks & Dunn,43,35,25,15,#
2003-09-03,Celebrity,Brad Paisley,44,36,31,13,#
2003-09-03,So Far Away,Staind,45,48,45,6,#
2003-09-03,My Front Porch Looking In,Lonestar,46,43,23,21,#
2003-09-03,Beer For My Horses,Toby Keith Duet With Willie Nelson,47,45,22,19,https://charts-static.billboard.com/img/2002/08/toby-keith-r76-beerformyhorses-sh7-180x180.jpg
2003-09-03,Faint,Linkin Park,48,53,48,7,#
2003-09-03,Addicted,Simple Plan,49,46,45,11,#
2003-09-03,Suga Suga,Baby Bash Featuring Frankie J,50,56,50,3,https://charts-static.billboard.com/img/2003/06/baby-bash-itn-sugasuga-ok4-180x180.jpg
2003-09-03,Girls And Boys,Good Charlotte,51,51,51,7,#
2003-09-03,This One's For The Girls,Martina McBride,52,54,52,5,#
2003-09-03,Here Without You,3 Doors Down,53,64,53,2,#
2003-09-03,Intuition,Jewel,54,47,20,18,#
2003-09-03,So Yesterday,Hilary Duff,55,55,53,4,#
2003-09-03,Then They Do,Trace Adkins,56,52,52,8,#
2003-09-03,Bigger Than My Body,John Mayer,57,66,57,2,#
2003-09-03,Light Your A** On Fire,Busta Rhymes,58,58,58,5,#
2003-09-03,Step In The Name Of Love,R. Kelly,59,59,59,3,#
2003-09-03,Who Wouldn't Wanna Be Me,Keith Urban,60,62,60,4,#
2003-09-03,A Few Questions,Clay Walker,61,61,61,5,#
2003-09-03,Harder To Breathe,Maroon 5,62,70,62,3,#
2003-09-03,I Wish I Wasn't,Heather Headley,63,67,55,19,#
2003-09-03,Signs Of Love Makin',Tyrese,64,57,57,7,#
2003-09-03,Tough Little Boys,Gary Allan,65,68,65,3,#
2003-09-03,I Melt,Rascal Flatts,66,72,66,3,#
2003-09-03,Rain On Me,Ashanti,67,78,67,2,https://charts-static.billboard.com/img/2003/07/ashanti-4h4-rainonme-8x9-180x180.jpg
2003-09-03,Show Me How To Live,Audioslave,68,73,68,4,#
2003-09-03,Love At 1st Sight,Mary J. Blige Featuring Method Man,69,50,22,10,#
2003-09-03,Did My Time,Korn,70,60,38,5,#
2003-09-03,Wave On Wave,Pat Green,71,77,71,2,#
2003-09-03,Someday,Nickelback,72,76,72,3,https://charts-static.billboard.com/img/2003/08/nickelback-ecq-someday-odo-180x180.jpg
2003-09-03,Ooh!,Mary J. Blige,73,73,1,-,#
2003-09-03,She Only Smokes When She Drinks,Joe Nichols,74,74,72,4,#
2003-09-03,Na Na Na,112 Featuring Super Cat,75,75,75,5,#
2003-09-03,Walked Outta Heaven,Jagged Edge,76,76,1,-,#
2003-09-03,Hole In The World,Eagles,77,71,69,6,#
2003-09-03,Like A Pimp,David Banner Featuring Lil' Flip,78,69,48,20,#
2003-09-03,Heaven,Live,79,79,79,2,#
2003-09-03,This Is The Night,Clay Aiken,80,65,1,11,#
2003-09-03,Clubbin,Marques Houston Featuring Joe Budden & Pied Piper,81,81,1,-,#
2003-09-03,24's,T.I.,82,82,82,6,#
2003-09-03,Where The Hood At,DMX,83,86,83,3,https://charts-static.billboard.com/img/2003/07/dmx-kb0-wherethehoodat-h5k-180x180.jpg
2003-09-03,Stand Up,Ludacris Featuring Shawnna,84,84,1,-,#
2003-09-03,I Love This Bar,Toby Keith,85,85,1,-,https://charts-static.billboard.com/img/2003/08/toby-keith-r76-ilovethisbar-56o-180x180.jpg
2003-09-03,99.9% Sure (I've Never Been Here Before),Brian McComas,86,63,57,9,#
2003-09-03,Send The Pain Below,Chevelle,87,80,65,18,#
2003-09-03,Walk A Little Straighter,Billy Currington,88,88,88,3,#
2003-09-03,Amazing,Josh Kelley,89,89,89,5,#
2003-09-03,Lovin' All Night,Patty Loveless,90,90,90,3,#
2003-09-03,Seven Nation Army,The White Stripes,91,84,76,16,https://charts-static.billboard.com/img/2003/03/the-white-stripes-4sm-sevennationarmy-bnw-180x180.jpg
2003-09-03,Officially Missing You,Tamia,92,83,83,6,#
2003-09-03,Danger,Erykah Badu,93,93,93,3,#
2003-09-03,Breathe,Blu Cantrell Featuring Sean Paul,94,81,70,19,#
2003-09-03,Stay Gone,Jimmy Wayne,95,85,32,20,#
2003-09-03,Roun' The Globe,Nappy Roots,96,97,96,2,#
2003-09-03,Crazy,Javier,97,99,96,4,#
2003-09-03,Pon De River; Pon De Bank,Elephant Man,98,98,3,-,#
2003-09-03,Got Some Teeth,Obie Trice,99,99,1,-,#
2003-09-03,Just Because,Jane's Addiction,100,87,72,7,#
2003-09-10,Shake Ya Tailfeather,Nelly| P. Diddy & Murphy Lee,1,1,1,12,#
2003-09-10,Right Thurr,Chingy,2,3,2,18,#
2003-09-10,Crazy In Love,Beyonce Featuring Jay Z,3,2,1,17,https://charts-static.billboard.com/img/2003/05/beyonce-n2a-crazyinlove-r6k-180x180.jpg
2003-09-10,Baby Boy,Beyonce Featuring Sean Paul,4,9,4,5,#
2003-09-10,Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,5,6,5,20,#
2003-09-10,Into You,Fabolous Featuring Tamia Or Ashanti,6,5,5,14,#
2003-09-10,Frontin',Pharrell Featuring Jay-Z,7,7,7,14,https://charts-static.billboard.com/img/2003/05/pharrell-williams-vru-frontin-mop-180x180.jpg
2003-09-10,P.I.M.P.,50 Cent,8,4,3,16,#
2003-09-10,Where Is The Love?,The Black Eyed Peas,9,10,8,14,#
2003-09-10,Unwell,matchbox twenty,10,8,5,26,#
2003-09-10,Never Leave You - Uh Ooh; Uh Oooh!,Lumidee,11,12,3,16,#
2003-09-10,Can't Hold Us Down,Christina Aguilera Featuring Lil' Kim,12,26,12,7,#
2003-09-10,My Love Is Like... Wo,Mya,13,13,13,12,#
2003-09-10,Drift Away,Uncle Kracker Featuring Dobie Gray,14,14,9,25,#
2003-09-10,The Remedy (I Won't Worry),Jason Mraz,15,25,15,20,#
2003-09-10,Let's Get Down,Bow Wow Featuring Baby,16,18,16,11,#
2003-09-10,It's Five O'Clock Somewhere,Alan Jackson & Jimmy Buffett,17,17,17,12,https://charts-static.billboard.com/img/2003/06/alan-jackson-jbt-itsfiveoclocksomewhere-yan-180x180.jpg
2003-09-10,In Those Jeans,Ginuwine,18,11,8,14,#
2003-09-10,Calling All Angels,Train,19,24,19,17,https://charts-static.billboard.com/img/2003/04/train-z35-106x106.jpg
2003-09-10,Why Don't You & I,Santana Featuring Alex Band Or Chad Kroeger,20,32,20,8,#
2003-09-10,Damn!,YoungBloodZ Featuring Lil Jon,21,35,21,6,#
2003-09-10,Thoia Thoing,R. Kelly,22,23,22,9,#
2003-09-10,The Boys Of Summer,The Ataris,23,27,23,8,#
2003-09-10,Are You Happy Now?,Michelle Branch,24,16,16,16,#
2003-09-10,Forever And For Always,Shania Twain,25,20,20,17,#
2003-09-10,What Was I Thinkin',Dierks Bentley,26,29,26,13,#
2003-09-10,Can't Stop; Won't Stop,Young Gunz,27,37,27,6,#
2003-09-10,Bring Me To Life,Evanescence Featuring Paul McCoy,28,22,5,27,https://charts-static.billboard.com/img/2003/01/evanescence-qx6-bringmetolife-cqx-180x180.jpg
2003-09-10,Like Glue,Sean Paul,29,15,13,15,#
2003-09-10,Magic Stick,Lil' Kim Featuring 50 Cent,30,21,2,21,#
2003-09-10,Rock Wit U (Awww Baby),Ashanti,31,19,2,19,#
2003-09-10,No Shoes; No Shirt; No Problems,Kenny Chesney,32,31,28,12,#
2003-09-10,Senorita,Justin Timberlake,33,33,33,7,#
2003-09-10,Miss Independent,Kelly Clarkson,34,30,9,18,#
2003-09-10,I Want You,Thalia Featuring Fat Joe,35,28,22,14,https://charts-static.billboard.com/img/2003/05/thalia-82k-180x180.jpg
2003-09-10,Real Good Man,Tim McGraw,36,39,36,10,#
2003-09-10,Help Pour Out The Rain (Lacey's Song),Buddy Jewell,37,41,37,13,#
2003-09-10,Get Busy,Sean Paul,38,38,1,30,#
2003-09-10,Dance With My Father,Luther Vandross,39,42,39,12,https://charts-static.billboard.com/img/2003/05/luther-vandross-8mi-dancewithmyfather-6ue-180x180.jpg
2003-09-10,Come Over,Aaliyah,40,34,34,14,https://charts-static.billboard.com/img/2003/03/aaliyah-dzg-comeover-96k-180x180.jpg
2003-09-10,When I'm Gone,3 Doors Down,41,40,4,43,https://charts-static.billboard.com/img/2002/10/3-doors-down-iph-whenimgone-6r8-180x180.jpg
2003-09-10,Suga Suga,Baby Bash Featuring Frankie J,42,50,42,4,https://charts-static.billboard.com/img/2003/06/baby-bash-itn-sugasuga-ok4-180x180.jpg
2003-09-10,Red Dirt Road,Brooks & Dunn,43,43,25,16,#
2003-09-10,So Gone,Monica,44,36,10,21,#
2003-09-10,So Far Away,Staind,45,45,45,7,#
2003-09-10,Here Without You,3 Doors Down,46,53,46,3,#
2003-09-10,Celebrity,Brad Paisley,47,44,31,14,#
2003-09-10,Girls And Boys,Good Charlotte,48,51,48,8,#
2003-09-10,Headstrong,Trapt,49,49,21,-,#
2003-09-10,My Front Porch Looking In,Lonestar,50,46,23,22,#
2003-09-10,Faint,Linkin Park,51,48,48,8,#
2003-09-10,Beer For My Horses,Toby Keith Duet With Willie Nelson,52,47,22,20,https://charts-static.billboard.com/img/2002/08/toby-keith-r76-beerformyhorses-sh7-180x180.jpg
2003-09-10,Bigger Than My Body,John Mayer,53,57,53,3,#
2003-09-10,This One's For The Girls,Martina McBride,54,52,52,6,#
2003-09-10,Addicted,Simple Plan,55,49,45,12,#
2003-09-10,Who Wouldn't Wanna Be Me,Keith Urban,56,60,56,5,#
2003-09-10,Harder To Breathe,Maroon 5,57,62,57,4,#
2003-09-10,Light Your A** On Fire,Busta Rhymes,58,58,58,6,#
2003-09-10,Stand Up,Ludacris Featuring Shawnna,59,84,59,2,#
2003-09-10,Ooh!,Mary J. Blige,60,73,60,2,#
2003-09-10,A Few Questions,Clay Walker,61,61,61,6,#
2003-09-10,Tough Little Boys,Gary Allan,62,65,62,4,#
2003-09-10,Step In The Name Of Love,R. Kelly,63,59,59,4,#
2003-09-10,I Melt,Rascal Flatts,64,66,64,4,#
2003-09-10,Walked Outta Heaven,Jagged Edge,65,76,65,2,#
2003-09-10,I Wish I Wasn't,Heather Headley,66,63,55,20,#
2003-09-10,Rain On Me,Ashanti,67,67,67,3,https://charts-static.billboard.com/img/2003/07/ashanti-4h4-rainonme-8x9-180x180.jpg
2003-09-10,Someday,Nickelback,68,72,68,4,https://charts-static.billboard.com/img/2003/08/nickelback-ecq-someday-odo-180x180.jpg
2003-09-10,Wave On Wave,Pat Green,69,71,69,3,#
2003-09-10,Where The Hood At,DMX,70,83,70,4,https://charts-static.billboard.com/img/2003/07/dmx-kb0-wherethehoodat-h5k-180x180.jpg
2003-09-10,I Love This Bar,Toby Keith,71,85,71,2,https://charts-static.billboard.com/img/2003/08/toby-keith-r76-ilovethisbar-56o-180x180.jpg
2003-09-10,Intuition,Jewel,72,54,20,19,#
2003-09-10,So Yesterday,Hilary Duff,73,55,53,5,#
2003-09-10,Signs Of Love Makin',Tyrese,74,64,57,8,#
2003-09-10,Show Me How To Live,Audioslave,75,68,68,5,#
2003-09-10,Then They Do,Trace Adkins,76,56,52,9,#
2003-09-10,Heaven,Live,77,79,77,3,#
2003-09-10,Love At 1st Sight,Mary J. Blige Featuring Method Man,78,69,22,11,#
2003-09-10,Hole In The World,Eagles,79,77,69,7,#
2003-09-10,Clubbin,Marques Houston Featuring Joe Budden & Pied Piper,80,81,80,2,#
2003-09-10,Did My Time,Korn,81,70,38,6,#
2003-09-10,24's,T.I.,82,82,82,7,#
2003-09-10,Seven Nation Army,The White Stripes,83,91,76,17,https://charts-static.billboard.com/img/2003/03/the-white-stripes-4sm-sevennationarmy-bnw-180x180.jpg
2003-09-10,Walk A Little Straighter,Billy Currington,84,88,84,4,#
2003-09-10,Got Some Teeth,Obie Trice,85,99,85,2,#
2003-09-10,Lovin' All Night,Patty Loveless,86,90,86,4,#
2003-09-10,This Is The Night,Clay Aiken,87,80,1,12,#
2003-09-10,Pon De River; Pon De Bank,Elephant Man,88,98,88,4,#
2003-09-10,Amazing,Josh Kelley,89,89,89,6,#
2003-09-10,Send The Pain Below,Chevelle,90,87,65,19,#
2003-09-10,She Only Smokes When She Drinks,Joe Nichols,91,74,72,5,#
2003-09-10,Officially Missing You,Tamia,92,92,83,7,#
2003-09-10,Na Na Na,112 Featuring Super Cat,93,75,75,6,#
2003-09-10,99.9% Sure (I've Never Been Here Before),Brian McComas,94,86,57,10,#
2003-09-10,Breathe,Blu Cantrell Featuring Sean Paul,95,94,70,20,#
2003-09-10,Danger,Erykah Badu,96,93,93,4,#
2003-09-10,Just Because,Jane's Addiction,97,100,72,8,#
2003-09-10,Simply Being Loved (Somnambulist),BT,98,98,1,-,#
2003-09-10,Crazy,Javier,99,97,96,5,#
2003-09-10,Roun' The Globe,Nappy Roots,100,96,96,3,#
2003-09-17,Shake Ya Tailfeather,Nelly| P. Diddy & Murphy Lee,1,1,1,13,#
2003-09-17,Baby Boy,Beyonce Featuring Sean Paul,2,4,2,6,#
2003-09-17,Right Thurr,Chingy,3,2,2,19,#
2003-09-17,Into You,Fabolous Featuring Tamia Or Ashanti,4,6,4,15,#
2003-09-17,Frontin',Pharrell Featuring Jay-Z,5,7,5,15,https://charts-static.billboard.com/img/2003/05/pharrell-williams-vru-frontin-mop-180x180.jpg
2003-09-17,Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,6,5,5,21,#
2003-09-17,Crazy In Love,Beyonce Featuring Jay Z,7,3,1,18,https://charts-static.billboard.com/img/2003/05/beyonce-n2a-crazyinlove-r6k-180x180.jpg
2003-09-17,P.I.M.P.,50 Cent,8,8,3,17,#
2003-09-17,Where Is The Love?,The Black Eyed Peas,9,9,8,15,#
2003-09-17,Unwell,matchbox twenty,10,10,5,27,#
2003-09-17,Damn!,YoungBloodZ Featuring Lil Jon,11,21,11,7,#
